link, code, name
https://eu.idtdna.com/site/Catalog/Modifications/Product/9429,5ATTO488N,5' ATTO™ 488 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/9437,5ATTO633N,5' ATTO™ 633 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/45474,5Super-dT,5' Super T&reg
https://eu.idtdna.com/site/Catalog/Modifications/Product/45475,5Super-dG,5' Super G&reg
https://eu.idtdna.com/site/Catalog/Modifications/Product/47045,AltR1,
https://eu.idtdna.com/site/Catalog/Modifications/Product/48913,52MOErA,5' 2-MethoxyEthoxy A
https://eu.idtdna.com/site/Catalog/Modifications/Product/48914,52MOErC,5' 2-MethoxyEthoxy MeC
https://eu.idtdna.com/site/Catalog/Modifications/Product/48915,52MOErG,5' 2-MethoxyEthoxy G
https://eu.idtdna.com/site/Catalog/Modifications/Product/48916,52MOErT,5' 2-MethoxyEthoxy T
https://eu.idtdna.com/site/Catalog/Modifications/Product/50506,rhSeq-f,
https://eu.idtdna.com/site/Catalog/Modifications/Product/50507,rhSeq-r,
https://eu.idtdna.com/site/Catalog/Modifications/Product/51127,Alt-R-HDR1,
https://eu.idtdna.com/site/Catalog/Modifications/Product/51821,5SUN,5' SUN
https://eu.idtdna.com/site/Catalog/Modifications/Product/1056,iSpC3,Int C3 Spacer
https://eu.idtdna.com/site/Catalog/Modifications/Product/1059,i6-TAMN,Int TAMRA (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1061,ideoxyI,Int deoxyInosine
https://eu.idtdna.com/site/Catalog/Modifications/Product/1062,ideoxyU,Int deoxyUridine
https://eu.idtdna.com/site/Catalog/Modifications/Product/1101,iMe-dC,Int 5-Methyl dC
https://eu.idtdna.com/site/Catalog/Modifications/Product/1105,iBiodT,Int Biotin dT
https://eu.idtdna.com/site/Catalog/Modifications/Product/1152,iFluorT,Int Fluorescein dT
https://eu.idtdna.com/site/Catalog/Modifications/Product/1153,i2AmPr,Int 2-Aminopurine
https://eu.idtdna.com/site/Catalog/Modifications/Product/1199,i6diPr,Int 2,6-Diaminopurine (2-Amino-dA)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1202,idSp,Int 1’,2’-Dideoxyribose (dSpacer)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1388,iAmMC6T,Int Amino Modifier C6 dT
https://eu.idtdna.com/site/Catalog/Modifications/Product/1390,i5Br-dU,Int 5-Bromo dU
https://eu.idtdna.com/site/Catalog/Modifications/Product/1391,iSp9,Int Spacer 9
https://eu.idtdna.com/site/Catalog/Modifications/Product/1393,iSp18,Int Spacer 18
https://eu.idtdna.com/site/Catalog/Modifications/Product/1440,iUniAmM,Int Uni-Link™ Amino Modifier
https://eu.idtdna.com/site/Catalog/Modifications/Product/1450,i5NitInd,Int 5-Nitroindole
https://eu.idtdna.com/site/Catalog/Modifications/Product/1474,iCy3,Int Cy3™
https://eu.idtdna.com/site/Catalog/Modifications/Product/1476,iCy5,Int Cy5™
https://eu.idtdna.com/site/Catalog/Modifications/Product/1707,iSpPC,Int PC Spacer
https://eu.idtdna.com/site/Catalog/Modifications/Product/2038,iMe-isodC,Int Iso-dC
https://eu.idtdna.com/site/Catalog/Modifications/Product/2039,iisodG,Int Iso-dG
https://eu.idtdna.com/site/Catalog/Modifications/Product/2083,iDTPA,Int Dithiol
https://eu.idtdna.com/site/Catalog/Modifications/Product/2307,i2FU,Int Fluoro U
https://eu.idtdna.com/site/Catalog/Modifications/Product/2309,i2FC,Int Fluoro C
https://eu.idtdna.com/site/Catalog/Modifications/Product/2792,i2FA,Int Fluoro A
https://eu.idtdna.com/site/Catalog/Modifications/Product/2794,i2FG,Int Fluoro G
https://eu.idtdna.com/site/Catalog/Modifications/Product/3508,i5OctdU,Int 5-Octadiynyl dU
https://eu.idtdna.com/site/Catalog/Modifications/Product/3609,ZEN,
https://eu.idtdna.com/site/Catalog/Modifications/Product/3632,i5HydMe-dC,Int Hydroxymethyl dC
https://eu.idtdna.com/site/Catalog/Modifications/Product/3691,iAzideN,Int Azide  (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3774,iBiodUK,Int Biotin (Azide)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3810,i5-TAMK,Int 5-TAMRA™ (Azide)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3811,i6-FAMK,Int 6-FAM (Azide)
https://eu.idtdna.com/site/Catalog/Modifications/Product/4939,ideSBioTEG,Int Desthiobiotin-TEG
https://eu.idtdna.com/site/Catalog/Modifications/Product/45472,iSuper-dG,Int Super G&reg
https://eu.idtdna.com/site/Catalog/Modifications/Product/45473,iSuper-dT,Int Super T&reg
https://eu.idtdna.com/site/Catalog/Modifications/Product/45674,TAO,
https://eu.idtdna.com/site/Catalog/Modifications/Product/48909,i2MOErA,Int 2-MethoxyEthoxy A
https://eu.idtdna.com/site/Catalog/Modifications/Product/48910,i2MOErC,Int 2-MethoxyEthoxy MeC
https://eu.idtdna.com/site/Catalog/Modifications/Product/48911,i2MOErG,Int 2-MethoxyEthoxy G
https://eu.idtdna.com/site/Catalog/Modifications/Product/48912,i2MOErT,Int 2-MethoxyEthoxy T
https://eu.idtdna.com/site/Catalog/Modifications/Product/1065,3Bio,3' Biotin
https://eu.idtdna.com/site/Catalog/Modifications/Product/1067,3Dab,3' Dabcyl
https://eu.idtdna.com/site/Catalog/Modifications/Product/1072,3Phos,3' Phosphorylation
https://eu.idtdna.com/site/Catalog/Modifications/Product/1079,3deoxyI,3' deoxyInosine
https://eu.idtdna.com/site/Catalog/Modifications/Product/1080,3deoxyU,3' deoxyUridine
https://eu.idtdna.com/site/Catalog/Modifications/Product/1165,3SpC3,3' C3 Spacer
https://eu.idtdna.com/site/Catalog/Modifications/Product/1170,3Sp18,3' Spacer 18
https://eu.idtdna.com/site/Catalog/Modifications/Product/1171,3Sp9,3' Spacer 9
https://eu.idtdna.com/site/Catalog/Modifications/Product/1175,3ddC,3' Dideoxy-C
https://eu.idtdna.com/site/Catalog/Modifications/Product/1203,36-FAM,3' 6-FAM (Fluorescein)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1360,3InvdT,3' Inverted dT
https://eu.idtdna.com/site/Catalog/Modifications/Product/1399,3BioTEG,3' Biotin-TEG
https://eu.idtdna.com/site/Catalog/Modifications/Product/1434,3RiboG,
https://eu.idtdna.com/site/Catalog/Modifications/Product/1460,3ThioMC3-D,3' Thiol Modifier C3 S-S
https://eu.idtdna.com/site/Catalog/Modifications/Product/1616,3Me-dC,3' 5-Methyl dC
https://eu.idtdna.com/site/Catalog/Modifications/Product/1656,35NitInd,3' 5-Nitroindole
https://eu.idtdna.com/site/Catalog/Modifications/Product/1726,3AmdA,3' 2,6-Diaminopurine (2-Amino-dA)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1973,3C6,3' Hexanediol
https://eu.idtdna.com/site/Catalog/Modifications/Product/2059,3BHQ_1,3' Black Hole Quencher&reg-1
https://eu.idtdna.com/site/Catalog/Modifications/Product/2060,3BHQ_2,3' Black Hole Quencher&reg-2
https://eu.idtdna.com/site/Catalog/Modifications/Product/2173,32AmPu,3' 2-Aminopurine
https://eu.idtdna.com/site/Catalog/Modifications/Product/2344,3Cy3Sp,3' Cy3™
https://eu.idtdna.com/site/Catalog/Modifications/Product/2345,36-TAMSp,3' TAMRA™
https://eu.idtdna.com/site/Catalog/Modifications/Product/2346,3Cy5Sp,3' Cy5™
https://eu.idtdna.com/site/Catalog/Modifications/Product/2347,3Cy55Sp,3' Cy5.5™
https://eu.idtdna.com/site/Catalog/Modifications/Product/2349,3IAbRQSp,3' Iowa Black&reg RQ
https://eu.idtdna.com/site/Catalog/Modifications/Product/2463,36-TAMTSp,3' TAMRA (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/2555,3CholTEG,3' Cholesterol-TEG
https://eu.idtdna.com/site/Catalog/Modifications/Product/2599,3StarFire,
https://eu.idtdna.com/site/Catalog/Modifications/Product/2836,32FC,3' Fluoro C
https://eu.idtdna.com/site/Catalog/Modifications/Product/2837,32FU,3' Fluoro U
https://eu.idtdna.com/site/Catalog/Modifications/Product/2958,3TYE563,3' TYE™ 563
https://eu.idtdna.com/site/Catalog/Modifications/Product/2959,3TYE665,3' TYE™ 665
https://eu.idtdna.com/site/Catalog/Modifications/Product/2960,3TEX615,3' TEX 615
https://eu.idtdna.com/site/Catalog/Modifications/Product/3299,3AmMO,3' Amino Modifier
https://eu.idtdna.com/site/Catalog/Modifications/Product/3315,3AlexF546N,3' Alexa Fluor&reg; 546 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3316,3AlexF647N,3' Alexa Fluor&reg; 647 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3317,3AlexF488N,3' Alexa Fluor&reg; 488 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3349,3TxRed-XN,3' Texas Red&reg;-X (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3350,3MAX_N,3' MAX (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3351,3Joe_N,3' JOE (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3352,3Rox_N,3' ROX (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3353,3Dig_N,3' Digoxigenin (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3354,3AlexF532N,3' Alexa Fluor&reg; 532 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3355,3AlexF594N,3' Alexa Fluor&reg; 594 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3356,3RhodGn-XN,3' Rhodamine Green™-X (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3357,3RhodRd-XN,3' Rhodamine Red™ (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3358,3AlexF660N,3' Alexa Fluor&reg; 660 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3359,3AlexF750N,3' Alexa Fluor&reg; 750 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3360,3LtCy640N,3' Lightcycler® 640 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3361,3FAM_N,3' 6-FAM (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3402,32FA,3' Fluoro A
https://eu.idtdna.com/site/Catalog/Modifications/Product/3403,32FG,3' Fluoro G
https://eu.idtdna.com/site/Catalog/Modifications/Product/3463,3IABkFQ,3' Iowa Black&reg FQ
https://eu.idtdna.com/site/Catalog/Modifications/Product/3475,3FluorT,3' Fluorescein dT
https://eu.idtdna.com/site/Catalog/Modifications/Product/3476,3BiodT,3' Biotin dT
https://eu.idtdna.com/site/Catalog/Modifications/Product/3477,3AmMC6T,3' Amino Modifier C6 dT
https://eu.idtdna.com/site/Catalog/Modifications/Product/3479,3DTPA,
https://eu.idtdna.com/site/Catalog/Modifications/Product/3480,3dSp,3' Dithiol
https://eu.idtdna.com/site/Catalog/Modifications/Product/3649,3MGBEc,3' 1’,2’-Dideoxyribose (dSpacer)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3771,3AzideN,3' Azide  (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3772,35OctdU,3' 5-Octadiynyl dU
https://eu.idtdna.com/site/Catalog/Modifications/Product/4456,35HydMe-dC,3' Hydroxymethyl dC
https://eu.idtdna.com/site/Catalog/Modifications/Product/4938,3deSBioTEG,3' Desthiobiotin-TEG
https://eu.idtdna.com/site/Catalog/Modifications/Product/9428,3ATTO488N,3' ATTO™ 488 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/9430,3ATTO532N,3' ATTO™ 532 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/9431,3ATTO550N,3' ATTO™ 550 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/9432,3ATTO590N,3' ATTO™ 590 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/9433,3ATTO647NN,3' ATTO™ 647N (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/9434,3RHO101N,3' ATTO™ Rho101 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/9435,3ATTO565N,3' ATTO™ 565 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/9436,3ATTO633N,3' ATTO™ 633 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/44215,3ZEN,
https://eu.idtdna.com/site/Catalog/Modifications/Product/45470,3Super-dG,3' Super G&reg
https://eu.idtdna.com/site/Catalog/Modifications/Product/45471,3Super-dT,3' Super T&reg
https://eu.idtdna.com/site/Catalog/Modifications/Product/47044,AltR2,
https://eu.idtdna.com/site/Catalog/Modifications/Product/48905,32MOErA,3' 2-MethoxyEthoxy A
https://eu.idtdna.com/site/Catalog/Modifications/Product/48906,32MOErC,3' 2-MethoxyEthoxy MeC
https://eu.idtdna.com/site/Catalog/Modifications/Product/48907,32MOErG,3' 2-MethoxyEthoxy G
https://eu.idtdna.com/site/Catalog/Modifications/Product/48908,32MOErT,3' 2-MethoxyEthoxy T
https://eu.idtdna.com/site/Catalog/Modifications/Product/49068,crRNA-XT,
https://eu.idtdna.com/site/Catalog/Modifications/Product/51128,Alt-R-HDR2,
